,MachineIdentifier,HasDetections,EngineVersion_FE,AppVersion_FE,AvSigVersion_FE,Census_OSVersion_FE,SmartScreen_BE_ExistsNotSet
4827,00233664cc57f5110805a5fea8d12775,1,1,1,0.304347826,0.38590604,0
2390,001165099cfa34005432f88c0b9c76a3,1,0.998826291,1,0.130434783,0.355704698,0
942,0006d2ab447dc40a7ae9ec03eda8c1b3,1,0.063380282,0.162950257,0.086956522,0.020134228,0
7141,0034fd251ef209d96f28643d5126f926,1,1,1,0.217391304,1,0
1651,000c3555f136bf1462e30c350deb3950,1,1,0.162950257,0.130434783,0.617449664,0
2820,0014bb17e5281e718b44bee67151ae63,1,1,0.02915952,0.652173913,0.110738255,1
8626,004072eae35f7544596e657b8169383d,0,0.998826291,1,0.695652174,0.355704698,0
1187,0008c81dcf60758bb8d40994450e97d7,1,0.998826291,1,0.130434783,0.020134228,0
8532,003fb2dd32597df42c37aa57c134e57b,0,0.038732394,0.060034305,0.869565217,0.083892617,0
1099,0008261179e11d43335a558ba9a5d7ac,1,0.019953052,0.022298456,0.043478261,0.030201342,1
1497,000b21e0e9e044029963624fe5daf2ab,0,1,0.162950257,0.130434783,0.281879195,0
6796,003224d62983e1a7e5c55265dba2f4c3,1,1,1,0.565217391,0.617449664,1
2762,0014559f4239b305af16643827969edd,0,0.998826291,1,0.173913043,0.157718121,0
2061,000edc1f2207d1bec672a72a27f1a7f9,0,0.998826291,1,0.217391304,1,0
4836,0023484cc2f69ef4873ef1b01645a2fc,1,1,1,0.130434783,1,0
4102,001e251af7b49df8510819402043f8ab,1,0.998826291,1,0.304347826,0.214765101,0
5575,0028ef2a99830e9b3c9ad9ac41e9a88b,0,1,1,0.086956522,0.151006711,0
4163,001e838b8652dde3eca465cfcf8bdc18,0,1,1,0.173913043,0.617449664,0
3754,001b64d731ec115252ac5f29e2c5d62e,0,0.998826291,1,0.043478261,0.033557047,0
4599,0021aec58ed2aea8917df87c7859452f,0,1,1,0.086956522,0.016778523,0
